complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Classified as Flooding because the description cites 'Underpass flooded after 1hr rain'.,
GH-202402,Flooding,Standard,Classified as Flooding because the description cites 'Market area flooded'.,NEEDS_REVIEW
GH-202406,Waste,Standard,Classified as Waste because the description cites 'Main stormwater drain 100% blocked with construction debris'.,NEEDS_REVIEW
GH-202407,Drain Blockage,Standard,Classified as Drain Blockage because the description cites 'Drain blocked and mosquito breeding'.,
GH-202410,Pothole,Standard,Classified as Pothole because the description cites 'Potholes causing vehicles to slow to 20kmph on fast road'.,
GH-202411,Pothole,Urgent,Classified as Pothole because the description cites 'Pothole swallowed entire motorcycle wheel'.,
GH-202412,Pothole,Urgent,Classified as Pothole because the description cites 'School bus struggling to navigate 6 potholes in 200m stretch'.,
GH-202417,Waste,Standard,Classified as Waste because the description cites 'Heritage zone garbage overflow'.,NEEDS_REVIEW
GH-202420,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
GH-202422,Other,Urgent,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
GH-202424,Flooding,Standard,Classified as Flooding because the description cites 'Underpass floods in light rain'.,NEEDS_REVIEW
GH-202428,Waste,Standard,Classified as Waste because the description cites 'Post-market waste not cleared'.,
GH-202432,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
GH-202448,Flooding,Standard,Classified as Flooding because the description cites 'Main drain blocked — entire locality at flooding risk this week'.,NEEDS_REVIEW
GH-202438,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
