complaint_id,category,priority,reason,flag
KM-202401,Streetlight,Standard,Classified as Streetlight because the description cites 'Heritage lamp post knocked over by delivery vehicle'.,NEEDS_REVIEW
KM-202402,Heritage Damage,Standard,Classified as Heritage Damage because the description cites 'Historic tram road cobblestones broken up by cable laying work'.,
KM-202405,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
KM-202409,Pothole,Standard,Classified as Pothole because the description cites 'Airport access road full of potholes'.,
KM-202410,Pothole,Standard,Classified as Pothole because the description cites 'Pothole causing tyre blowouts'.,
KM-202411,Pothole,Standard,Classified as Pothole because the description cites 'Deep pothole filling with rainwater'.,
KM-202415,Drain Blockage,Standard,Classified as Drain Blockage because the description cites 'New residential complex draining directly onto public road'.,
KM-202418,Waste,Standard,Classified as Waste because the description cites 'Tourist zone waste overflowing'.,NEEDS_REVIEW
KM-202421,Road Damage,Urgent,Classified as Road Damage because the description cites 'Footpath broken and sinking'.,
KM-202422,Road Damage,Standard,Classified as Road Damage because the description cites 'Road surface buckled near bridge'.,
KM-202426,Heritage Damage,Standard,Classified as Heritage Damage because the description cites 'Heritage residential building exterior defaced by billboard installation'.,
KM-202430,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
KM-202434,Heritage Damage,Standard,Classified as Heritage Damage because the description cites 'Street paving removed for utility work — heritage stone not replaced'.,
KM-202436,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,Classified as Heritage Damage because the description cites 'Street vendors using amplifiers illegally in heritage precinct'.,
